Geometry_Section,Atom_Number,Element,X_Angstrom,Y_Angstrom,Z_Angstrom
3,85,C,11.675519,-6.707223,-1.201459
3,86,C,13.16839,-6.792879,-0.837726
3,87,C,13.958609,-5.58876,-0.375853
3,88,C,15.455393,-5.760406,-0.147533
3,89,C,16.34978,-4.551818,0.02208
3,90,C,17.843965,-4.716487,0.257206
3,91,C,18.75658,-3.49865,0.331725
3,92,C,20.252956,-3.665269,0.58275
3,93,C,21.177735,-2.457216,0.651291
3,94,C,22.677534,-2.588787,0.948375
3,95,C,23.552019,-1.362555,0.952134
3,96,C,23.002697,0.03521,0.635682
3,97,C,13.229035,8.961233,-0.380793
3,98,O,14.625497,8.859305,-0.851941
3,99,O,12.727905,10.294966,-0.010189
3,100,H,14.932807,9.825897,-1.238306
3,101,C,8.711594,-9.042499,0.283463
3,102,O,9.394196,-10.363898,0.423142
3,103,O,7.311677,-8.958382,0.643032
3,104,H,10.465236,-10.218809,0.334039
3,105,H,5.639945,6.661951,0.538045
3,106,H,10.437715,8.818051,0.252195
3,107,H,0.317254,-2.838024,1.193577
3,108,H,2.528265,-4.290188,0.867318
3,109,H,17.232803,5.59274,-0.001469
3,110,H,4.7108,-5.699659,0.508895
3,111,H,19.401674,4.024601,0.104895
3,112,H,21.52584,2.459627,0.342874
3,113,H,13.693438,-7.792615,-0.914261
3,114,H,15.908038,-6.797562,-0.147567
3,115,H,18.282239,-5.753305,0.370026
3,116,H,20.67051,-4.703421,0.709855
3,117,H,23.318031,0.731801,1.472382
3,118,H,23.500085,0.392719,-0.318472
3,119,H,-3.112033,1.013112,1.455278
3,120,H,-1.902771,-1.370739,1.414481
3,121,H,-1.608286,3.203808,1.18744
3,122,H,0.753599,4.355243,0.893177
3,123,H,24.646263,-1.475224,1.21625
3,124,H,8.044235,7.743734,0.361831
3,125,H,6.406665,-4.924167,-1.719771
3,126,H,6.637322,-7.121272,0.12262
3,127,H,11.499838,-8.827293,-0.285678
3,128,H,11.608684,-6.877371,-2.322284
3,129,O,3.24414,1.238788,2.032564
3,130,O,11.676978,-2.011534,-2.104255
3,131,O,16.475317,1.371159,1.125836
3,132,O,12.76946,-4.167136,1.238931
3,133,O,10.674066,5.27871,-2.099311
3,134,H,12.018146,5.262877,1.056708
3,135,H,13.60789,-4.260384,1.92006
3,136,H,11.295471,6.116824,-2.392089
3,137,C,3.029982,5.924376,0.751675
3,138,O,3.828505,7.131533,0.603891
3,139,O,1.585991,6.073131,1.031316
3,140,H,1.431639,6.987444,1.594459
3,141,C,23.345138,-3.92599,1.273413
3,142,O,24.770668,-3.966388,1.531298
3,143,O,22.56909,-5.179162,1.375655
3,144,H,21.671825,-4.98575,1.955004
3,145,C,6.797408,-2.510414,1.729428
3,146,O,5.578354,-2.230429,2.45802
3,147,O,7.94928,-3.099823,2.451559
3,148,H,8.679779,-2.321182,2.679157
3,149,H,5.365251,-2.170358,-1.39756
3,150,H,12.38523,-4.07843,-2.142466
3,151,H,12.892156,6.140078,-1.816513
3,152,H,14.967405,7.092744,0.0529
3,153,C,10.808407,3.662438,4.508982
3,154,C,9.326511,3.518817,4.656994
3,155,C,8.463092,2.494894,3.931472
3,156,C,8.894971,1.064422,3.649803
3,157,N,10.274027,0.550409,3.938412
3,158,C,11.509659,1.270553,3.480663
3,159,C,11.705404,2.770513,3.659225
3,160,C,7.041134,2.923187,3.628637
3,161,C,6.050221,1.947541,3.051701
3,162,C,6.466951,0.524619,2.809902
3,163,C,7.872591,0.080249,3.121
3,164,C,12.623872,0.45021,2.84421
3,165,C,13.872798,1.126278,2.331434
3,166,C,14.026467,2.617094,2.452973
